Time Values,Noisy Yaw,Filtered Yaw,Reference Yaw,Noisy Ax,Filtered Ax,Vx Values,Yaw Error,Yaw Error Derivatives,Yaw Correction,Steering Values,Sideslip,Noisy Ay,Filtered Ay,Vy
3.504,-0.02127787275722756,0.002595669583294152,0.0,-0.9502693155292431,-0.6920799425461591,2.9335855408305105,-4.255299535931954e-06,-0.00010353826540545492,-1.4214271646111233e-18,0.0,-1.4842350302413893e-05,1.268987142215891,0.12410734563087913,-4.354130424230007e-05
3.52,0.05561362753433233,0.013199261173501786,0.0,-0.314480507518789,-0.616560055540685,2.9335820953123304,-1.4062972200377788e-06,0.00017806264474338598,-1.4214271646111233e-18,0.0,-1.4919428277711739e-05,-0.7281329451457867,-0.04634071252445404,-4.376736767103902e-05
3.536,0.15095608951674275,0.04075062684214998,0.0,0.5200184108133548,-0.389244362269877,2.9335786498856518,2.9316805958062596e-06,0.00027112361349025237,-1.4214271646111233e-18,0.0,-1.4928258878763876e-05,0.1441900922291434,-0.008234551573734553,-4.379322152996078e-05
3.552,0.0876270731541605,0.05012591610455208,0.0,-0.3326841116277762,-0.37793231214145684,2.933575204485282,4.165595530689359e-06,7.71196834301937e-05,-1.4214271646111233e-18,0.0,-1.4859508820105628e-05,-1.0964520232117576,-0.2258780459013392,-4.359148662870062e-05
3.568,-0.06967170121373797,0.02616639264089407,0.0,1.0383594056809857,-0.0946739685769683,2.9335717589788657,9.888104130237797e-07,-0.00019854906985409867,-1.4214271646111233e-18,0.0,-1.4785983960770916e-05,-0.5950759505456141,-0.2997176268301942,-4.3375744979193044e-05
3.584,-0.06769532285519779,0.007394049541675697,0.0,0.27267048592489623,-0.021205077676595394,2.9335683135714885,-3.2348959321071156e-06,-0.000263981646570681,-1.4214271646111233e-18,0.0,-1.4785552461393126e-05,1.215163009038659,0.0032585003435764426,-4.337442820255253e-05
3.6,-0.05983219355482011,-0.006051199077623463,0.0,-0.543577062451688,-0.12567947463161394,2.933564868163529,-4.033280270154236e-06,-4.9899021127945027e-05,-1.4214271646111233e-18,0.0,-1.4858687423344067e-05,0.2961911484978346,0.06184502997442808,-4.358892341535329e-05
3.616,0.17124318304203995,0.029407677346309224,0.0,0.016717710671453636,-0.09720003757100043,2.9335614226651185,-5.611419166611215e-07,0.00021700864709331966,-1.4214271646111233e-18,0.0,-1.4927963861213636e-05,1.3069590684402081,0.31086783766758413,-4.379209890544829e-05
3.632,0.015115750143636548,0.026549291905774687,0.0,1.339200361590044,0.1900800422612085,2.933557977281549,3.505264329582981e-06,0.00025415039039025644,-1.4214271646111233e-18,0.0,-1.4920047125691437e-05,0.2901590354263982,0.30672607721934697,-4.376882327023652e-05
3.648,0.13051399951656845,0.04734223342793344,0.0,0.898128468570268,0.3316897275230204,2.933554531875416,3.860253141539016e-06,2.2186800747252177e-05,-1.4214271646111233e-18,0.0,-1.4843329135489178e-05,1.0626870236991846,0.45791826651531453,-4.3543715456730596e-05
